listing_id;agent_name;agent_phone;category;description;displayable_address;first_publish_date;image_url;last_publish_date;latitude;listing_status;longitude;new_home;num_bathrooms;num_beedrooms;num_floors;num_recepts;outcode;post_town;price;price_change;property_type;status;street_name
42824796;Abbotts - Barkingside;020 3463 0088;Residential;This first floor flat is situated with easy walking distance of Goodmayes station and local shopping facilities. The flat consists of one bedroom, lounge, kitchen and bathroom with wc. The property would suit both first time buyers and investors.Walking distance of Goodmayes stationFirst floor flatNo onward chainOne bedroomAllocated parking spaceBathroom with wcIdeal investmentLoungeKitchenGoodmayes, Ilford, Essex IG3;2017-04-05 15:48:35;https://lid.zoocdn.com/354/255/d09ca267a190508258aa3fcd5a6c0b7be13efbe3.jpg;2017-04-05 15:48:35;51.563663;51.563663;sale;0.117615;false;1;1;0;1;IG3;Ilford;175000;;Flat;for_sale;Goodmayes Ilford Essex
43455813;Abbotts - Barkingside;020 3463 0088;Residential;This end of terrace property is situated well for access to local schools and central line stations. The property offers to the first floor two bedrooms and bathroom with wc. The ground floor consists of a lounge and good size kitchen/breakfast room. The property is extensively double glazed and has gas central heating. To the rear of the property there is a beautiful garden and ample off street parking to the front.Two bedroomsEnd of terraceFirst floor bathroom with wcLoungeKitchen/breakfast roomExtensively double glazedClose to local schoolsHainault, Essex IG6;2017-04-05 15:48:35;https://lid.zoocdn.com/354/255/797d9afb0bd279bacaa4b6f668db9beaf1790b31.jpg;2017-04-06 13:18:46;51.599815;51.599815;sale;0.080511;false;1;2;0;1;IG6;Ilford;399995;;End terrace house;for_sale;Hainault Essex
43455810;Abbotts - Barkingside;020 3463 0088;Residential;This beautiful extended end of terrace cottage is situated very well for access to Fairlop central line station and opposite Fairlop Waters boating lake. The property offers to the first floor three bedrooms and a spacious modern family bathroom. The ground floor consists of a extended lounge/diner, kitchen/breakfast room, utility room and ground floor wc. The cottage also has both front and rear gardens to which at the end of the rear garden there is a outbuilding. To the front of the property there is a shingle area for off street parking.Totally unique cottageThree bedroomsFirst floor modern bathroom with wcExtended lounge/dinerKitchen/breakfast roomClose to Fairlop central line stationOpposite Fairlop Waters boating lakeOutbuildingInternal inspection a mustGreat front and rear gardensForest Road, Barkingside, Essex IG6;2017-04-05 15:48:35;https://lid.zoocdn.com/354/255/dd347c1364cbf1a6e4cea381aa57cf5b3263f0ad.jpg;2017-04-07 17:59:58;51.596848;51.596848;sale;0.095046;false;1;3;0;1;IG6;Ilford;595000;;End terrace house;for_sale;Forest Road Barkingside Essex
43455812;Abbotts - Barkingside;020 3463 0088;Residential;Being situated well for great school catchments is the semi detached property which has potential for extensions subject to planning permission. The property offers to the first floor three bedrooms. The ground floor consists of a lounge/diner, kitchen, utility room a shower room and separate wc. To the rear of the property there is a beautiful garden and off street parking to the front.Three bedroomsGreat school catchmentsPotential for extensions subject to planningNo onward chainKitchenGround floor modern shower roomExtensively double glazedGood size rear gardenOff street parkingChigwell, Essex IG7;2017-04-05 15:48:35;https://lid.zoocdn.com/354/255/c049789bec84d81c919799ce78968d1ba38476c3.jpg;2017-04-07 17:59:40;51.611393;51.611393;sale;0.066019;false;1;3;0;1;IG7;Chigwell;495000;;Semi-detached house;for_sale;Chigwell Essex
43455783;Barnard Marcus;020 8166 7276;Residential;Summary** open day Saturday 15th April - call now to book A time to view **descriptionComing to the market is this two bedroom, ground floor flat situated in Croydon boasting potential throughout. Currently in need of modernisation, comprising a light and spacious reception room, kitchen, two double bedrooms and bathroom. Further benefiting from access to the outside communal space and no onward chain.Close to local transport links and amenities, perfect for those looking to invest or first time buyers!Reception Room 16' x 14' 5" ( 4.88m x 4.39m )Kitchen 10' 1" x 7' 7" ( 3.07m x 2.31m )Bedroom 16' 7" x 9' 3" ( 5.05m x 2.82m )Bedroom 13' x 8' 8" ( 3.96m x 2.64m )We currently hold lease details as displayed above, should you require further information please contact the branch. Please note additional fees could be incurred for items such as leasehold packs.1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. 2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. 3. Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully before ordering carpets or any built-in furniture. 4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. 5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.Bramble Close, Croydon CR0;2017-04-05 15:48:33;https://li.zoocdn.com/18e0a3a3d842e9c7ba8a17997daf33d7b0999399_354_255.jpg;2017-04-07 12:51:37;51.365788;51.365788;sale;-0.027285;false;0;2;0;0;CR0;Croydon;220000;;Flat;for_sale;Bramble Close
43455707;Ballymore - Royal Wharf;020 8033 9527;Residential;Royal wharf - A new waterfront village for londonRoyal Wharf grasps one of the last opportunities to build a new town within London.Not only does Royal Wharf offer a stunning south facing riverside promenade, but also has at its heart a new vibrant high street connecting parks and squares.The development will consist of 3,385 homes in total including expansive townhouses, three-bed duplexes, two-bed and one-bed apartments and compact studios. The design of every residence in this exclusive neighbourhood combines the principles of the new Georgian revival with the expansive thrills of contemporary riverside living.The ambition at Royal Wharf is to create London's next great estate, a successor to the districts that have for centuries given the capital its world-famous character.The leisure centre will include:* 25 metre swimming pool* Hydrotherapy pool* Sauna, steam room, Jacuzzi, experience shower* Outdoor gym facilities* 14,000 sq. Ft. Of leisure centre* Light and airy indoor centre* Refreshment and social and relaxing area* Workout zones* State of the art exercise equipment* Personal training assessment hubRoyal Wharf, Pontoon Dock E16;2017-04-05 15:47:29;https://lid.zoocdn.com/354/255/cc96386763dd32a93d438be7ad204cfd6e01c0c7.jpg;2017-04-06 01:49:12;51.50296;51.50296;sale;0.04016;true;1;0;0;1;E16;London;365000;;Studio;for_sale;Royal Wharf
43455694;Coopers Residential - Uxbridge;01895 647817;Residential;An opportunity to secure a stunning four bedroom townhouse from St. Modwen Homes. This newly built property will be within easy walking distance of the plethora of shops, amenities and tube station in Uxbridge town centre.Forming part of the newly formed St. Andrew???s Park Development and offering a wealth of key features including floor to ceiling windows, two allocated parking spaces and 10 Year New Home Guarantee.The homes will be designed according to St. Modwen Homes??? high standards, with high ceilings and large windows throughout, impressive specification and top quality features.*Computer generated images are indicative only. External finishes, materials, layouts, window positions and styles may vary. Interior photography shows typical St. Modwen home interior and may include upgrades that do not come as standard.The Hawker, St Andrew's Park, Uxbridge UB10;2017-04-05 15:46:27;https://lid.zoocdn.com/354/255/9fb5a5549be76ebb64bb7b8dc56360868d6fcd10.jpg;2017-04-06 01:49:11;51.542847;51.542847;sale;-0.465267;true;2;4;0;1;UB10;Uxbridge;669995;;Town house;for_sale;St Andrew's Park
43455675;Moving City;020 8022 6147;Residential;Moving City are proud to offer this off-plan (534 Sq. Ft.) one bedroom apartment on 5th floor (East facing aspect - sunrise) overlooking Alto Elvin Square gardens in Alto Belcanto, which is one of the stunning apartment buildings within North West Village, HA9.North West Village will eventually provide over 1,000 new homes, with local shops, restaurants and leisure spaces to add to the already exhilarating location. The neighbourhood is well supplied with restaurants and coffee shops, and the London Designer Outlet has brought even more choice to Wembley Park.The development also offers a concierge service, a residence only gym, 16 seat cinema, resident storage spaces, bicycle storage and over 4,000sqm. Of communal landscaped gardens.Wembley Park (London Underground) station is under 10 minutes??? walk with 24 hour Jubilee Line connections. Wembley Stadium (National Rail) station is just as close, and is only one stop from London Marylebone and four from Oxford Circus.Estimated Service Charge:- ??3.65 per Estimated Ground rent:- ??400 p.AEstimated Completion:- July - September 2017Alto Belcanto, North West Village, Wembley Park HA9;2017-04-05 15:46:25;https://lid.zoocdn.com/354/255/dd6dffff4f416f29c86b5e8aef3882e91a0b86be.jpg;2017-04-05 15:47:41;51.55904;51.55904;sale;-0.281683;true;1;1;0;1;HA9;Wembley;440000;;Flat;for_sale;Alto Belcanto
43455618;Wilfords London Ltd;020 3463 0403;Residential;A beautifully presented raised ground floor apartment backing onto one of Notting Hill???s prestigious garden squares.This one bedroom apartment boats a 25 ft double reception room with over 3.5m ceiling height, a working gas fire, fully fitted kitchen with Corian work top and a fully tiled ensuite shower room with underfloor heating and Duravit fittings. The property is also fully air conditioned and has an abundance of storage including a loft space and an under stairs cupboard. There is direct access through the rear of the building straight into the communal garden.Lansdowne Road is within easy walking distance of the shops, bars and restaurants of Portobello road, Westbourne Grove and the infamous Clarendon Cross. The nearest transport is Ladbroke Grove underground for the Circle and Hammersmith & City lines or Holland Park for the Central Line. Both the A4 and A40 are within easy reach for driving routes out of London.Lansdowne Road is within easy walking distance of the shops, bars and restaurants of Portobello road, Westbourne Grove and the infamous Clarendon Cross. The nearest transport is Ladbroke Grove underground for the Circle and Hammersmith & City lines or Holland Park for the Central Line. Both the A4 and A40 are within easy reach for driving routes out of London.Lansdowne Road, London W11;2017-04-05 15:44:37;https://lid.zoocdn.com/354/255/84a9e102f0a8d8a3656fd47645aabfe450771e6f.jpg;2017-04-06 01:49:08;51.512814;51.512814;sale;-0.207805;false;0;1;0;0;W11;London;1000000;;;for_sale;Lansdowne Road
43455544;eMoov National;01277 699033;Residential;We are delighted to offer for sale this 2 bedroom residential in this sought after and convenient location within easy reach of good schools, local amenities, the M25 and public transport links.With 2 double rooms, recently fitted bathroom and kitchen this impressive accommodation is well presented and requires no work whatsoever. All rooms are a good size, and the lounge and master bedroom face south giving them a bright and warm feel.Please see the many photographs that accompany this listing and the indicative floor plan for further detail. To fully appreciate this property please arrange a viewing on our open day on Saturday 22nd April. Please do get in touch if you are unable to make this time.Comes with a long 97 year lease.Grovelands Road, Orpington BR5;2017-04-05 15:43:17;https://lid.zoocdn.com/354/255/427e7c5a3e5fc4ee5ab8e94167377bfb9c65c1b9.jpg;2017-04-07 15:54:42;51.41125;51.41125;sale;0.10487;false;1;2;0;1;BR5;Orpington;210000;;Maisonette;for_sale;Grovelands Road
