"","x"
"1","latitude"
"2","longitude"
"3","num_bathrooms"
"4","num_beedrooms"
"5","num_floors"
"6","num_recepts"
"7","month"
"8","day"
"9","House_Number"
"10","Address_Length"
"11","new_home.false"
"12","new_home.true"
"13","outcode"
"14","post_town."
"15","post_town.Barking"
"16","post_town.Barnet"
"17","post_town.Beckenham"
"18","post_town.Bexleyheath"
"19","post_town.Brentford"
"20","post_town.Brentwood"
"21","post_town.Bromley"
"22","post_town.Bushey"
"23","post_town.Carshalton"
"24","post_town.Chessington"
"25","post_town.Chigwell"
"26","post_town.Chislehurst"
"27","post_town.Coulsdon"
"28","post_town.Croydon"
"29","post_town.Dagenham"
"30","post_town.Edgware"
"31","post_town.Enfield"
"32","post_town.Esher"
"33","post_town.Feltham"
"34","post_town.Grays"
"35","post_town.Greenford"
"36","post_town.Hampton"
"37","post_town.Harrow"
"38","post_town.Hayes"
"39","post_town.Hornchurch"
"40","post_town.Hounslow"
"41","post_town.Ilford"
"42","post_town.Isleworth"
"43","post_town.Kenley"
"44","post_town.Keston"
"45","post_town.Kingston upon Thames"
"46","post_town.London"
"47","post_town.Mitcham"
"48","post_town.Morden"
"49","post_town.New Malden"
"50","post_town.Northolt"
"51","post_town.Northwood"
"52","post_town.Orpington"
"53","post_town.Pinner"
"54","post_town.Potters Bar"
"55","post_town.Purfleet"
"56","post_town.Purley"
"57","post_town.Rainham"
"58","post_town.Richmond"
"59","post_town.Romford"
"60","post_town.Ruislip"
"61","post_town.South Croydon"
"62","post_town.South Ockendon"
"63","post_town.Southall"
"64","post_town.Stanmore"
"65","post_town.Surbiton"
"66","post_town.Sutton"
"67","post_town.Teddington"
"68","post_town.Thornton Heath"
"69","post_town.Tilbury"
"70","post_town.Twickenham"
"71","post_town.Upminster"
"72","post_town.Uxbridge"
"73","post_town.Wallington"
"74","post_town.Waltham Cross"
"75","post_town.Watford"
"76","post_town.Welling"
"77","post_town.Wembley"
"78","post_town.West Drayton"
"79","post_town.West Wickham"
"80","post_town.Woodford Green"
"81","post_town.Worcester Park"
"82","property_type."
"83","property_type.Barn conversion"
"84","property_type.Block of flats"
"85","property_type.Bungalow"
"86","property_type.Chalet"
"87","property_type.Cottage"
"88","property_type.Detached bungalow"
"89","property_type.Detached house"
"90","property_type.End terrace house"
"91","property_type.Flat"
"92","property_type.Houseboat"
"93","property_type.Land"
"94","property_type.Link-detached house"
"95","property_type.Maisonette"
"96","property_type.Mews house"
"97","property_type.Mobile/park home"
"98","property_type.Parking/garage"
"99","property_type.Retail premises"
"100","property_type.Semi-detached bungalow"
"101","property_type.Semi-detached house"
"102","property_type.Studio"
"103","property_type.Terraced bungalow"
"104","property_type.Terraced house"
"105","property_type.Town house"
"106","property_type.Villa"
"107","status.for_sale"
"108","status.sale_under_offer"
"109","status.sold"
"110","weekday.Friday"
"111","weekday.Monday"
"112","weekday.Saturday"
"113","weekday.Sunday"
"114","weekday.Thursday"
"115","weekday.Tuesday"
"116","weekday.Wednesday"
"117","Postcode.1.1.BR"
"118","Postcode.1.1.CM"
"119","Postcode.1.1.CR"
"120","Postcode.1.1.DA"
"121","Postcode.1.1.E"
"122","Postcode.1.1.EC"
"123","Postcode.1.1.EN"
"124","Postcode.1.1.HA"
"125","Postcode.1.1.IG"
"126","Postcode.1.1.KT"
"127","Postcode.1.1.N"
"128","Postcode.1.1.NW"
"129","Postcode.1.1.RM"
"130","Postcode.1.1.SE"
"131","Postcode.1.1.SM"
"132","Postcode.1.1.SW"
"133","Postcode.1.1.TW"
"134","Postcode.1.1.UB"
"135","Postcode.1.1.W"
"136","Postcode.1.1.WC"
"137","Postcode.1.1.WD"
"138","Postcode.1.2.0"
"139","Postcode.1.2.1"
"140","Postcode.1.2.10"
"141","Postcode.1.2.11"
"142","Postcode.1.2.12"
"143","Postcode.1.2.13"
"144","Postcode.1.2.14"
"145","Postcode.1.2.15"
"146","Postcode.1.2.16"
"147","Postcode.1.2.17"
"148","Postcode.1.2.18"
"149","Postcode.1.2.19"
"150","Postcode.1.2.1A"
"151","Postcode.1.2.1B"
"152","Postcode.1.2.1C"
"153","Postcode.1.2.1D"
"154","Postcode.1.2.1E"
"155","Postcode.1.2.1F"
"156","Postcode.1.2.1G"
"157","Postcode.1.2.1H"
"158","Postcode.1.2.1M"
"159","Postcode.1.2.1N"
"160","Postcode.1.2.1P"
"161","Postcode.1.2.1R"
"162","Postcode.1.2.1T"
"163","Postcode.1.2.1U"
"164","Postcode.1.2.1V"
"165","Postcode.1.2.1W"
"166","Postcode.1.2.1X"
"167","Postcode.1.2.1Y"
"168","Postcode.1.2.2"
"169","Postcode.1.2.20"
"170","Postcode.1.2.21"
"171","Postcode.1.2.22"
"172","Postcode.1.2.23"
"173","Postcode.1.2.24"
"174","Postcode.1.2.25"
"175","Postcode.1.2.26"
"176","Postcode.1.2.27"
"177","Postcode.1.2.28"
"178","Postcode.1.2.2A"
"179","Postcode.1.2.2B"
"180","Postcode.1.2.2H"
"181","Postcode.1.2.2R"
"182","Postcode.1.2.2Y"
"183","Postcode.1.2.3"
"184","Postcode.1.2.3A"
"185","Postcode.1.2.3N"
"186","Postcode.1.2.4"
"187","Postcode.1.2.4A"
"188","Postcode.1.2.4V"
"189","Postcode.1.2.5"
"190","Postcode.1.2.6"
"191","Postcode.1.2.7"
"192","Postcode.1.2.8"
"193","Postcode.1.2.9"
"194","Street"
"195","Road_Type"
"196","txt_0 x"
"197","txt_01 miles"
"198","txt_02 miles"
"199","txt_03 miles"
"200","txt_04 miles"
"201","txt_05 miles"
"202","txt_06 miles"
"203","txt_07 miles"
"204","txt_08 miles"
"205","txt_09 miles"
"206","txt_1 12"
"207","txt_1 13"
"208","txt_1 14"
"209","txt_1 and"
"210","txt_1 bathroom"
"211","txt_1 bed"
"212","txt_1 bedroom"
"213","txt_1 bowl"
"214","txt_1 double"
"215","txt_1 mile"
"216","txt_1 money"
"217","txt_1 x"
"218","txt_10 0"
"219","txt_10 1"
"220","txt_10 10"
"221","txt_10 11"
"222","txt_10 2"
"223","txt_10 3"
"224","txt_10 4"
"225","txt_10 5"
"226","txt_10 6"
"227","txt_10 7"
"228","txt_10 8"
"229","txt_10 9"
"230","txt_10 above"
"231","txt_10 april"
"232","txt_10 mins"
"233","txt_10 minute"
"234","txt_10 minutes"
"235","txt_10 per"
"236","txt_10 x"
"237","txt_10 year"
"238","txt_100 x"
"239","txt_101 x"
"240","txt_1010 x"
"241","txt_1011 x"
"242","txt_102 x"
"243","txt_103 x"
"244","txt_104 x"
"245","txt_105 x"
"246","txt_106 x"
"247","txt_107 x"
"248","txt_108 x"
"249","txt_109 x"
"250","txt_10th floor"
"251","txt_11 0"
"252","txt_11 1"
"253","txt_11 10"
"254","txt_11 11"
"255","txt_11 2"
"256","txt_11 3"
"257","txt_11 4"
"258","txt_11 5"
"259","txt_11 6"
"260","txt_11 7"
"261","txt_11 8"
"262","txt_11 9"
"263","txt_11 x"
"264","txt_110 x"
"265","txt_111 x"
"266","txt_1110 x"
"267","txt_1111 x"
"268","txt_112 x"
"269","txt_113 x"
"270","txt_114 x"
"271","txt_115 x"
"272","txt_116 x"
"273","txt_117 x"
"274","txt_118 x"
"275","txt_119 x"
"276","txt_12 0"
"277","txt_12 1"
"278","txt_12 10"
"279","txt_12 2"
"280","txt_12 3"
"281","txt_12 4"
"282","txt_12 5"
"283","txt_12 6"
"284","txt_12 7"
"285","txt_12 8"
"286","txt_12 9"
"287","txt_12 and"
"288","txt_12 minutes"
"289","txt_12 x"
"290","txt_120 x"
"291","txt_121 x"
"292","txt_1210 x"
"293","txt_1211 x"
"294","txt_122 x"
"295","txt_123 x"
"296","txt_124 x"
"297","txt_125 x"
"298","txt_125 year"
"299","txt_125 years"
"300","txt_126 x"
"301","txt_127 x"
"302","txt_128 x"
"303","txt_129 x"
"304","txt_13 0"
"305","txt_13 1"
"306","txt_13 10"
"307","txt_13 2"
"308","txt_13 4"
"309","txt_13 5"
"310","txt_13 6"
"311","txt_13 7"
"312","txt_13 8"
"313","txt_13 9"
"314","txt_13 x"
"315","txt_130 x"
"316","txt_131 x"
"317","txt_1310 x"
"318","txt_1311 x"
"319","txt_132 x"
"320","txt_133 x"
"321","txt_134 x"
"322","txt_135 x"
"323","txt_136 x"
"324","txt_137 x"
"325","txt_138 x"
"326","txt_139 x"
"327","txt_13th april"
"328","txt_14 1"
"329","txt_14 2"
"330","txt_14 5"
"331","txt_14 6"
"332","txt_14 7"
"333","txt_14 8"
"334","txt_14 9"
"335","txt_14 x"
"336","txt_140 x"
"337","txt_141 x"
"338","txt_1410 x"
"339","txt_1411 x"
"340","txt_142 x"
"341","txt_143 x"
"342","txt_144 x"
"343","txt_145 x"
"344","txt_146 x"
"345","txt_147 x"
"346","txt_148 x"
"347","txt_149 x"
"348","txt_15 1"
"349","txt_15 9"
"350","txt_15 minute"
"351","txt_15 minutes"
"352","txt_15 x"
"353","txt_150 x"
"354","txt_151 x"
"355","txt_1510 x"
"356","txt_1511 x"
"357","txt_152 x"
"358","txt_153 x"
"359","txt_154 x"
"360","txt_155 x"
"361","txt_156 x"
"362","txt_157 x"
"363","txt_158 x"
"364","txt_159 x"
"365","txt_15th april"
"366","txt_16 x"
"367","txt_160 x"
"368","txt_162 x"
"369","txt_163 x"
"370","txt_164 x"
"371","txt_165 x"
"372","txt_166 x"
"373","txt_168 x"
"374","txt_17 minutes"
"375","txt_17 x"
"376","txt_170 x"
"377","txt_172 x"
"378","txt_175m x"
"379","txt_18 x"
"380","txt_183m x"
"381","txt_19 minutes"
"382","txt_1930s built"
"383","txt_196m x"
"384","txt_198m x"
"385","txt_1st april"
"386","txt_1st floor"
"387","txt_2 10"
"388","txt_2 11"
"389","txt_2 12"
"390","txt_2 and"
"391","txt_2 bath"
"392","txt_2 bathroom"
"393","txt_2 bathrooms"
"394","txt_2 bed"
"395","txt_2 bedroom"
"396","txt_2 bedrooms"
"397","txt_2 cars"
"398","txt_2 double"
"399","txt_2 general"
"400","txt_2 large"
"401","txt_2 miles"
"402","txt_2 minutes"
"403","txt_2 reception"
"404","txt_2 receptions"
"405","txt_2 x"
"406","txt_20 minute"
"407","txt_20 minutes"
"408","txt_20 years"
"409","txt_2008the agent"
"410","txt_2016 and"
"411","txt_2017 for"
"412","txt_2018 will"
"413","txt_206m x"
"414","txt_208m x"
"415","txt_213m x"
"416","txt_216m x"
"417","txt_218m x"
"418","txt_221m x"
"419","txt_224m x"
"420","txt_226m x"
"421","txt_229m x"
"422","txt_231m x"
"423","txt_234m x"
"424","txt_236m x"
"425","txt_239m x"
"426","txt_24 concierge"
"427","txt_24 hour"
"428","txt_24 hours"
"429","txt_24 hr"
"430","txt_24 minutes"
"431","txt_244m x"
