id,response
43495650,665000
42344597,275000
43495594,490000
40387003,795000
43495256,675000
43495023,349950
43494864,350000
43494637,299995
43494560,550000
43494402,780000
43494382,550000
43494383,620000
43494385,175000
42776309,900000
42285532,420000
43494357,775000
43494364,500000
43447751,799950
43494222,634950
43494221,450000
43494223,435000
40751647,472000
43494196,371000
43494197,372000
43494110,595000
43494036,560000
43494037,765000
33700455,460000
43493977,349995
43493937,335000
43493916,675000
41752027,380000
43493903,650000
43493900,575000
43493878,575000
43493663,875000
43493650,419950
43493635,389950
43493614,240000
43493615,285000
43493610,400000
43493537,750000
43493538,465000
43493515,445000
43493517,455000
43493518,430000
43493520,320000
43493522,325000
43493523,475000
43493480,450000
43493262,675000
43493258,350000
43493261,575000
43493239,299950
43493230,290000
42082724,550000
43493200,499000
43493091,625000
43493090,625000
43493087,390000
43493088,475000
43492955,685000
43492956,450000
43492948,310000
43492942,625000
43492936,879500
43492901,440000
43492904,385000
43492879,230000
43492880,550000
43492856,825000
43492857,100000
43492858,775000
43492832,699995
43492805,400000
41377298,525000
43492801,499950
43492800,310000
43492802,685000
43492747,550000
43492687,285000
43492686,800000
43492679,475000
43492684,950000
43492680,440000
43492677,975000
43492681,475000
43492665,465000
42875752,599995
43492633,112000
43492634,141987
42383731,380000
42218295,645000
43492643,500000
43492645,695000
43492647,500000
43492636,595000
43492640,850000
43492616,98758
43492617,245000
43492613,389950
43492593,74914
43492605,650000
43492600,449500
43492601,335000
43492602,440000
43492585,118258
43492524,925000
39152327,795000
43492502,699950
43492497,495000
43492499,480000
41330728,475000
43492494,600000
43492467,350000
43492447,540000
43492392,475000
43492356,395000
43492357,499995
43492358,599950
43492353,435000
43492345,425000
43492313,500000
43492300,725000
42599739,459950
43492252,515000
43492239,765000
43479021,415000
43478991,390000
43478980,780000
43478970,585000
43478945,295000
43478944,380000
43478840,350000
43478841,825000
43478839,350000
43478764,390000
41038896,475000
43478695,600000
43478679,450000
43478682,320000
43478690,580000
43478677,485000
43478633,675000
43478637,835000
43478638,600000
43478624,470000
43478597,460000
43478566,425000
43478538,214950
40974680,214950
43478488,850000
43478367,830000
43478378,350000
43478366,700000
43478322,320000
43478304,595000
43478298,695000
43478253,599999
43478244,309950
43478240,690000
43478177,900000
43478157,309995
43478139,329967
43477816,400000
43477765,495000
43477741,550000
43477686,850000
43477671,389950
43477627,385000
43477605,425000
43477521,525000
43477532,425000
43477520,730000
43477531,595000
43477454,700000
43477455,325000
43477329,590000
43477330,550000
41724831,485000
43477303,550000
43477306,625000
43477299,550000
43477298,409950
43477223,649950
42690355,259995
43477195,450000
43477178,500000
43477179,500000
41941771,750000
43476940,419950
43476911,450000
43476898,350000
43476899,699999
43476896,700000
43476895,520000
43476893,515100
43476854,750000
43476848,449000
43476839,925000
43476838,595000
43476829,610000
43476820,875000
43476821,649950
42062744,149950
43476813,399995
43476816,300000
43476814,599995
43476815,349995
43476777,520000
43476766,365000
43476751,795000
43476733,600000
43476725,550000
43476687,495000
43476680,750000
43476553,450000
43476549,375000
43476533,650000
43476534,599950
43476532,450000
43476539,675000
43476528,290000
43476524,475000
43476505,379995
43476499,550000
43476390,915000
43476473,825000
43476452,455000
43476447,630000
43476446,495000
43476444,725000
43476432,495000
43476431,420000
43476341,650000
43476338,800000
43476336,475000
43476283,510000
43476276,560000
43476252,260000
43476226,320000
43476221,550000
43476212,425000
43476204,499995
43476178,198500
43476181,347000
43476164,281000
43476168,460000
43476122,550000
43476121,350000
43476111,375000
43476089,899950
43476078,497995
43476079,495000
43476080,899950
43476061,359995
43476051,650000
43476011,450000
43476012,455000
43476010,450000
43476014,450000
43476000,510000
43476006,460000
43476007,450000
43476008,455000
43476009,580000
43476009,580000
43475998,315000
43476004,515000
43475999,500000
43475981,500000
43475953,695000
43475938,975000
43475935,535000
43475907,170000
43475863,630000
43475537,300000
43475470,325000
43475312,750000
43475129,650000
43475105,600000
43475087,975000
43474944,275000
43474901,335000
43474791,330000
43474794,525000
43474795,550000
43474796,300000
43474140,950000
43474602,340000
43474536,310000
43474519,845000
43474509,695000
43474411,520000
43474321,235000
43474309,548000
43474235,300000
43474246,349950
43474200,180000
43473856,960000
43474159,350000
43473927,525000
43473740,695000
43473799,260000
43473798,475000
43473785,800000
43473783,550000
43473739,475000
43473626,525000
43472718,875000
43472558,750000
43472391,765000
43472389,145000
43472387,675000
43472385,365000
43472353,359950
43472365,260000
43472339,999950
43472312,530000
43472181,349000
43472160,715000
43472144,470000
43472136,325000
43472137,665000
43472130,625000
43472127,515000
43472115,555000
43472047,750000
43472024,375000
43472007,260000
43471976,460000
43471974,275000
43471964,252000
43471952,579995
43471949,270000
43471927,255000
43471926,415000
43471913,255000
43471914,200000
42254669,345000
41423129,575000
41422018,570000
40086223,475000
43471855,505000
43471819,425000
43471814,535000
43471775,525000
43471724,280000
36815818,520000
43471731,339995
43471715,450000
43471683,449950
43471660,475000
43471658,450000
43471629,725000
43471627,650000
43471577,400000
43471562,400000
43471541,375000
43471538,599950
43471517,879950
43471503,549995
43471478,375000
43471474,475000
43471446,345000
43471422,469950
43471418,274995
43471401,825000
43471344,349995
43471316,575000
43471234,279000
43471199,560000
43471125,500000
43471059,340000
43471069,525000
43471053,550000
43471026,365000
43471024,369000
43471025,465000
43471018,315000
43471001,325000
43471004,715000
43470964,699000
43470463,600000
42681648,549950
43470774,799950
43470752,575000
43470742,499950
43470723,599950
43470727,580000
43470695,802000
43470693,569950
43470684,525000
43470658,289950
43470591,249995
43470627,250000
43470620,400000
43470592,477500
43470575,515000
43470576,815000
43470557,375000
43470523,950000
43470516,575000
43470517,950000
43470470,590000
43470318,190000
43470237,635000
43470235,395000
43470238,635000
43470161,475000
43470162,310000
36090693,689950
43470092,355000
43470096,380000
43470046,995000
43469995,579950
43469994,750000
43469965,995000
43469918,400000
43469911,575000
43469908,780000
43469909,425000
43469888,379950
43469855,349950
43469793,400000
43469792,159950
43469789,325000
43469750,500000
43469685,674950
43469672,350000
43469653,674995
43469640,850000
43469612,529995
43469599,589995
43469580,380000
43469564,485000
43469513,899950
43469509,540000
43469472,399950
43469421,389950
43469396,400000
43469342,245000
43469335,875000
43469336,695000
43469245,425000
43469315,550000
43469311,365000
43469297,495000
43469281,425000
43469257,397000
43469238,725000
43469225,499950
43469205,995000
43469202,545000
43469169,549950
43469130,325000
43469103,450000
43469087,475000
43469082,649950
43469052,425000
43469026,650000
43469000,465000
43468979,340000
43468971,340000
43468929,525000
43468915,415000
43468911,329995
43468908,440000
43468906,579950
43468832,340000
43468816,599950
43468792,395000
43468698,630000
43468650,300000
43468343,500000
43468273,500000
43468259,475000
43468227,750000
43468176,539950
43468036,670000
42580828,425000
43467992,425000
43413259,430000
43467931,310000
43467918,915000
43467900,400000
43467894,875000
43467895,489950
43467892,370000
43467891,999999
43467886,525000
43467878,340000
43467593,315000
43467764,465000
43467765,525000
43467755,334950
43467750,525000
43467733,430000
43467727,385000
43467722,775000
43467706,550000
43467705,580000
43467694,624995
43467687,999995
43467684,285000
43467648,435000
43467613,425000
43467560,430000
43467547,375000
43467525,350000
43467422,499950
43467283,444950
43467346,427996
43467309,775000
43467269,449950
43467218,575000
43467131,800000
43467129,635000
43467116,350000
43466819,400000
43466803,275000
43466750,225000
43466584,525000
43466562,695000
43466541,575000
43466482,250000
43466483,350000
43466447,649950
43466442,495000
42861129,251500
43466413,297500
43466415,211500
43466393,410000
43466392,825000
43466339,400000
43466338,499950
43466276,450000
43466088,475000
43465874,550000
43465877,475000
43465868,300000
43465867,205000
43465866,295000
43465796,599950
38727912,700000
43465724,975000
43465712,995000
43465643,225000
43465622,129999
43465641,320000
43465624,225000
43465623,250000
42561618,580000
43465603,325000
43465591,369950
43465555,550000
41672991,519500
43465509,750000
43465425,315000
43465335,789950
32893305,874950
43465323,850000
43465324,870000
43465272,565000
43465269,830000
43465270,625000
43465267,235950
43465147,430000
43465138,231000
43465111,525000
43465086,440000
43465041,350000
43464982,215000
43464971,550000
31773064,239950
43464925,600000
43464915,449950
43464914,265000
43464912,225000
43464913,400000
43464906,599000
29324018,825000
43464815,649995
43464817,829950
43464786,325000
37723443,425000
43464773,899950
43464727,650000
43464700,750000
43464664,375000
43464654,575000
43464650,365000
43464634,650000
43464635,675000
43464633,950000
43464520,795000
43464515,600000
41904349,695000
43464511,540000
43464506,575000
43464480,325000
43464482,485000
43464481,775000
43464465,550000
43464451,152500
43464449,152500
43464442,695000
43464443,720000
43464429,550000
43464428,365000
43464391,760000
43464392,950000
43464390,550000
43464393,625000
43464372,220000
43464334,465000
43464237,524950
43464219,850000
43464187,529950
43464130,350000
32228661,375000
43464037,429950
43464029,849950
43463990,220000
43463987,650000
43463927,375000
43463888,429950
43463875,439950
43463873,260000
43463868,775000
43463833,199950
43463832,419950
43463820,349999
43463803,390000
43463797,375000
43463790,550000
43463785,775000
43463666,380000
43463656,620000
29772252,550000
43463526,375000
43463528,550000
43463479,465000
43463480,467000
43463477,398000
41951435,450000
43463184,400000
43463183,300000
43463173,400000
43463171,450000
43463167,350000
43463156,400000
43463159,350000
38337514,370000
43463162,425000
42531366,800000
43463155,700000
43463161,285000
43463160,750000
43463138,550000
43463145,475000
43463139,160000
43463105,365000
43463116,365000
43463101,365000
43463099,235000
43463095,350000
43463098,375000
43463014,316767
43463003,247500
43462968,925000
43462923,350000
43462709,350000
43462682,550000
43462663,390000
43462668,375000
43462662,560000
43462643,550000
43462611,395000
43462608,235000
43462556,730000
43462493,595000
43460832,600000
43459623,550000
43459608,315000
43459609,359950
43459595,325000
43459566,675000
35699057,575000
43459538,355000
43459505,314950
43459507,445000
43459314,475000
43459135,625000
42618106,650000
43459126,295000
43459006,400000
43458999,170000
43458993,250000
43459000,220000
43459005,225000
43458994,250000
43458992,625000
43458995,350000
43459001,260000
43458997,175000
42352325,325000
43458986,350000
43458975,550000
43458968,240000
43458978,240000
43458964,300000
43458969,450000
43458974,475000
43458984,325000
43458967,360000
43458985,450000
43458983,290000
43458965,390000
